"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.295","65.222","64.896","64.376","63.895","63.499","63.185","62.919","62.702","62.485","62.22","61.885","61.48","61.072","60.731","60.46","60.288","60.268","60.166","61.128","61.36","61.428","61.379","61.469","61.549","61.644","61.763","61.722","61.651","62.779","61.999","62.442","62.701",
"American Samoa","ASM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.75","63.14","62.86","62.45","62.93","63.54","63.52","63.12","63","62.76","63.14","63.3","63.36","63.59","63.46","64.4","64.76","65.18","65.48","65.43","65.39","65.42","65.15","64.94","64.7","65","64.87","65.17","65.63","65.95","65.03","65.85","66.39",
"Austria","AUT","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.46","55.84","56.59","56.69","59.06","59.42","58.82","58.41","58.82","58.97","58.68","58.24","58.93","59.15","57.26","58.56","59.08","59.94","60.17","60.44","60.4","60.49","60.76","60.92","60.69","60.72","61.21","61.21","61.37","61.36","60.77","61.16","61.663",
"Azerbaijan","AZE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.409","71.665","73.545","75.732","77.789","79.121","79.189","78.872","78.223","77.732","76.854","74.639","72.51","70.576","67.984","66.551","64.83","62.104","61.133","61.062","60.897","61.172","61.593","61.888","62.705","63.433","64.632","65.183","65.675","65.525","67.538","66.659","66.277",
"Burundi","BDI","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.122","89.587","89.035","88.302","87.558","86.936","86.11","85.19","84.263","83.629","82.998","82.406","81.851","81.342","80.909","80.517","80.185","79.913","79.673","79.579","79.506","79.336","79.193","79.08","78.952","79.31","79.528","79.628","79.639","79.451","78.487","79.11","79.734",
"Belgium","BEL","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.34","49.27","49.63","49.73","50.33","50.53","50.41","50.52","50.85","51.91","52.29","50.89","51.19","51.35","52.03","53.3","53.11","53.59","53.68","53.47","54.07","53.2","53.25","53.56","53.51","53.31","53.11","53.84","54.19","54.39","53.82","54.49","54.934",
"Benin","BEN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.174","72.174","72.16","72.119","72.078","72.037","71.996","71.955","71.914","71.873","71.832","71.791","71.75","71.764","71.779","71.793","71.808","71.822","71.837","71.851","71.866","71.88","70.659","69.408","68.127","66.818","65.483","64.123","62.74","62.677","62.081","62.277","62.588",
"Burkina Faso","BFA","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.906","83.93","83.316","82.682","82.03","81.36","80.669","79.96","79.231","78.483","77.716","76.929","76.123","75.298","74.454","73.591","72.71","71.875","71.024","70.159","69.279","68.384","67.476","66.554","65.62","65.577","65.536","65.49","65.437","65.377","64.756","65.349","65.553",
"Bangladesh","BGD","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.271","58.281","58.311","58.357","58.411","58.47","58.422","58.38","58.344","58.31","58.278","58.227","58.194","58.175","58.159","58.144","58.07","57.873","57.676","57.478","57.281","57.083","56.885","56.686","56.488","56.289","56.09","58.33","58.473","58.587","58.03","58.246","58.754",
"Bulgaria","BGR","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.537","56.871","57.17","56.306","55.438","54.567","53.693","52.817","51.939","51.06","50.18","51.37","50.82","49.92","50.55","49.69","51.29","52.6","53.81","53.02","53.39","52.51","53.08","53.9","54.14","54.07","53.33","55.35","55.32","56.58","55.55","55.26","56.299",
"Bahrain","BHR","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.594","65.396","65.321","65.216","65.122","65.067","65.066","65.127","65.274","65.535","65.915","66.39","66.938","67.36","67.579","67.863","68.393","69.152","70.077","71.082","71.755","71.144","71.466","71.517","71.012","70.856","71.292","71.835","72.291","72.413","70.601","70.994","71.681",
"Bahamas, The","BHS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.789","72.409","72.999","73.56","74.063","74.263","74.44","74.729","74.558","75.005","75.096","75.137","75.173","75.027","74.929","74.937","74.935","74.853","74.611","74.31","74.226","74.124","74.101","73.849","73.752","73.618","73.553","73.551","73.532","73.424","69.864","71.112","72.255",
"Bosnia and Herzegovina","BIH","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.634","45.497","45.067","44.353","43.666","43.129","42.971","42.833","42.754","42.685","42.574","42.508","42.757","42.959","43.096","43.236","43.407","44.029","44.96","44.915","45.7","45.329","45.687","45.31","46.259","46.312","46.171","46.195","46.011","47.035","46.8","49.869","49.632",
"Belarus","BLR","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.415","59.173","59.08","58.952","59.031","59.182","58.933","58.531","58.37","58.44","58.942","59.325","59.611","59.834","60.032","60.292","60.616","61.013","61.472","61.943","62.392","62.817","63.155","63.385","63.546","63.662","63.739","63.774","63.636","63.438","63.222","63.24","63.069",
"Belize","BLZ","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.751","57.075","57.413","57.48","57.336","57.568","57.863","58.21","58.583","58.956","59.321","59.66","59.977","60.274","60.546","60.812","61.072","61.33","61.583","61.824","62.087","62.387","62.689","62.985","63.854","64.297","64.759","64.454","64.618","64.71","63.072","64.299","64.884",
"Bermuda","BMU","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.188","69.496","69.448","69.659","69.91","70.164","70.388","70.67","71.001","71.33","70.79","70.629","70.468","70.306","70.143","69.98","72.72","71.02","71.81","72.12","72.05","71.98","68.62","69.3","71.37","67.08","67.36","68.63","71.8","70.68","69.68","68.08","69.339",
"Brazil","BRA","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.658","63.63","63.738","63.847","63.955","64.063","62.313","63.233","63.353","63.973","64.299","64.623","65.493","65.353","65.883","66.563","66.233","65.843","65.623","65.803","64.548","63.273","63.79","63.72","63.51","63.7","63.48","63.79","63.86","64.32","59.63","61.91","63.134",
"Barbados","BRB","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.34","66.758","66.17","66.848","67.52","68.16","67","67.81","67.77","67.83","68.696","69.55","68.49","69.25","69.68","69.56","67.87","67.8","67.62","67.61","67.6","67.59","66.19","66.71","63.9","63.96","65.44","64.37","63.57","62.3","60.455","60.671","60.969",
"Brunei Darussalam","BRN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.572","65.62","65.857","66.093","66.328","66.562","66.795","67.028","67.26","67.491","67.721","67.95","67.797","67.643","67.489","67.335","67.18","67.024","66.869","66.713","66.557","66.4","65.801","65.196","64.586","63.972","63.353","62.73","65.39","64.41","63.798","64.015","64.18",
"Bhutan","BTN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.117","70.904","70.697","70.495","70.29","70.078","70.002","69.945","69.904","69.883","69.885","69.871","69.882","69.915","69.953","69.995","69.917","69.84","69.765","69.7","68.15","67.41","64.4","65.3","62.61","63.14","63.172","63.211","63.244","63.253","60.8","61.111","61.874",
"Botswana","BWA","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.343","59.183","59.03","58.871","58.691","58.482","58.301","58.086","57.85","57.645","57.44","57.676","57.911","58.147","58.381","58.616","58.85","59.974","61.088","62.19","59.13","59.67","60.209","60.744","61.277","61.808","62.335","62.86","63.381","63.9","62.686","64.297","64.963",
"Central African Republic","CAF","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.452","70.46","70.453","70.434","70.403","70.362","70.371","70.371","70.362","70.34","70.307","70.348","70.369","70.376","70.376","70.372","70.43","70.479","70.517","70.536","70.53","70.635","70.72","70.783","70.827","70.856","70.786","70.698","70.598","70.492","69.822","70.209","70.584",
"Canada","CAN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.15","66.58","65.7","65.34","65.16","64.82","64.67","64.87","65.13","65.53","65.76","65.91","66.86","67.56","67.49","67.14","67.02","67.44","67.56","67.09","66.91","66.71","66.5","66.46","65.99","65.84","65.71","65.76","65.41","65.71","64.02","65.07","64.946",
"Central Europe and the Baltics","CEB","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.8897966015258","62.0455624993054","61.9313243107643","61.1229074256678","60.339145096188","59.5532315310838","58.6146559764368","58.3161457485112","57.8965553085041","57.5851954614213","57.4731488974742","57.2607427801802","55.6434449129167","55.0546312529143","54.8353646641599","54.6467215735613","54.674610603706","54.7589031285976","55.0002772682623","55.1541906759554","55.5134660016463","55.3340399538802","55.7334561645119","55.8921645050793","56.347328069138","56.3938496776783","56.3886760550618","57.0098729420238","57.1027550361227","57.179634487682","56.9538528859749","56.9464896929381","57.575051229952",
"Switzerland","CHE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.322","68.43","68.29","68.22","67.35","67.05","67.65","67.42","67.98","67.82","67.37","67.78","67.72","67.84","67.27","66.97","67.35","67.62","68.19","68.24","66.99","67.45","67.51","67.53","67.9","68.14","68.56","68.44","68.48","68.23","67.87","67.38","67.441",
"Channel Islands","CHI","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.431","57.602","57.726","57.65","57.707","58.04","58.424","58.643","58.93","59.35","59.364","59.981","60.591","60.88","60.748","60.521","60.063","59.645","59.986","60.336","60.124","59.538","59.465","59.356","59.308","59.361","59.319","59.211","59.043","58.872","58.025","58.468","58.814",
"Chile","CHL","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5","53.192","54.245","54.805","55.197","56.025","56.63","56.62","56.75","56.65","55.91","55.01","54.51","55.03","55.4","55.74","56.88","57.35","58.55","58.35","58.69","60.02","59.75","59.78","60.01","59.9","59.66","59.94","59.88","59.62","55.38","57.13","58.994",
"China","CHN","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.17","78.943","78.714","78.484","78.252","78.018","77.782","77.544","77.304","77.063","76.82","76.273","75.717","75.152","74.579","73.997","73.406","72.807","72.2","71.584","70.96","70.86","70.41","69.97","69.65","69.3","68.88","68.35","67.81","67.38","64.962","67.11","66.902",
"Cote d'Ivoire","CIV","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.552","65.523","65.467","65.391","65.305","65.214","65.209","65.195","65.17","65.147","65.123","65.1","65.077","65.054","65.03","65.007","64.984","64.96","64.937","64.914","64.89","64.867","64.844","64.82","64.797","64.774","64.75","64.727","64.703","64.68","64.065","64.752","65.454",
"Cameroon","CMR","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.369","82.392","82.398","82.388","82.359","82.312","82.28","82.23","82.164","82.09","82.013","81.967","81.92","81.872","81.823","81.772","81.756","81.73","80.015","78.181","76.23","75.238","74.219","73.173","72.1","72.063","72.027","71.98","71.924","71.861","71.178","71.29","71.771",
"Congo, Dem. Rep.","COD","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.305","72.349","72.384","72.41","72.42","72.404","72.444","72.461","72.458","72.446","72.435","72.463","72.483","72.497","72.506","72.51","71.632","70.738","69.827","68.9","67.958","67.001","66.03","66.042","66.042","66.03","66.03","66.013","65.98","65.934","65.307","65.768","66.233",
"Congo, Rep.","COG","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.754","68.675","68.586","68.492","68.401","68.318","68.247","68.181","68.122","68.067","68.015","67.994","67.969","67.945","67.928","67.92","67.902","67.891","67.884","67.874","67.855","67.92","67.965","67.994","68.01","68.012","67.988","67.949","67.894","67.826","67.181","67.253","67.591",
"Colombia","COL","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.714","66.716","66.935","67.294","67.699","68.045","68.072","68.247","68.128","67.492","67.63","67.64","67.51","68.2","66.69","65.94","64.587","63.21","63.62","66.39","67.76","68.47","69.41","69.03","69.15","69.48","69.07","68.89","68.39","67.48","62.7","64.33","63.305",
"Comoros","COM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.469","42.474","42.462","42.431","42.382","42.313","42.24","42.155","42.057","41.947","41.826","41.724","41.612","41.495","41.38","41.686","41.993","42.301","42.609","42.918","43.227","43.537","43.848","44.159","44.47","44.398","44.34","44.267","44.185","44.096","43.677","43.817","44.162",
"Cabo Verde","CPV","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.89","60.802","60.714","60.626","60.538","60.45","60.362","60.273","60.185","60.097","60.008","59.92","59.831","59.742","59.654","59.565","59.476","59.387","59.298","59.209","59.12","59.129","59.137","59.146","59.154","59.163","59.171","59.18","55.56","57.43","54.249","55.302","56.131",
"Costa Rica","CRI","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.35","56.5","55.66","56.54","57.02","58.03","55.97","58.13","59.69","59.69","58.87","61.04","60.65","61.01","59.8","62.07","61.72","62.58","62.14","61.5","59.21","60.62","64.33","63.66","64.19","62.81","57.79","59.85","62.21","64.26","60.62","61.76","61.388",
"Caribbean small states","CSS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1053176882405","64.0614359720424","64.0895332214894","64.0455344846248","64.155949276451","64.1924004102144","63.959729511126","63.8323348275156","63.6273313149405","63.2166299166856","63.1126534659755","62.8047268795724","62.6720989406566","62.7323645305036","63.0906624215247","63.2277816995173","63.1676749087758","63.0114506664782","62.9377728137538","61.8878556159038","60.8355479499613","60.8332428013539","61.1194015685707","61.5784663891557","61.9854736549453","62.9429188193227","62.6626666630134","62.8740498143817","62.7499199454957","62.3459966879128","60.3568229332489","61.3758653677745","62.5416402782601",
"Cuba","CUB","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.144","52.608","52.033","51.291","51.302","51.39","51.707","51.809","51.796","52.046","52.286","52.41","52.459","52.614","52.855","53.324","53.83","54.145","54.33","55.6","55","55.58","55.706","55.817","55.855","56.043","56.062","56.141","56.241","56.233","51.937","53.208","54.572",
"Curacao","CUW","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.219","59.75","59.35","59.467","59.583","59.7","59.816","59.932","60.048","60.164","60.28","61.69","61.86","63.17","63.04","63.19","63.54","64.39","64.21","63.73","64.27","63.74","63.43","63.3","63.75","62.29","61.25","61.63","62.4","62.96","62.7","63.79","64.165",
"Czechia","CZE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.284","61.411","61.419","61.42","61.62","61.51","61.24","60.68","60.59","60.6","60.06","59.63","59.46","59.23","58.97","59.38","59.27","58.77","58.5","58.68","58.44","58.26","58.64","59.28","59.31","59.42","59.92","60.22","60.56","60.38","59.79","59.77","60.141",
"Germany","DEU","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.03","59.42","58.72","58.31","58.16","57.71","57.61","57.67","57.68","57.86","57.46","57.48","57.27","57.32","56.87","58.42","58.96","59.15","59.24","59.39","59.37","60.09","60.07","60.35","60.41","60.17","61","61.21","61.28","61.92","60.65","60.55","61.533",
"Djibouti","DJI","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.98","36.998","36.889","36.696","36.509","36.385","36.204","36.089","36.003","35.878","35.686","35.56","35.377","35.156","34.929","34.706","34.353","34.008","33.669","33.348","33.057","32.902","32.776","32.67","32.564","32.445","32.376","32.27","32.147","32.035","30.751","31.144","31.387",
"Dominica","DMA","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.12","67.83","68.11","67.37","64.38","64.61","65.2","65.44","65.18","65.8","65.54","65.15","65.64","65.48","65.93","65.65","65.93","65.71","65.08","64.39","63.5","63.05","62.31","61.42","61.26","61.32","61.65","61.72","61.82","62.37","62.02","62.54","63.212",
"Dominican Republic","DOM","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.673","56.629","57.026","57.263","57.298","57.469","57.654","57.964","58.184","58.374","58.51","57.28","57.57","56.63","56.85","56.62","57.3","57.21","57.59","55.47","56.71","58.16","59.43","59.27","59.53","62.01","62.45","62.37","63.77","64.89","60.35","63.17","64.48",
"Algeria","DZA","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.659","43.96","44.11","44.474","44.783","44.86","44.92","44.65","44.38","44.11","43.841","43.572","43.303","43.035","42.767","42.499","42.233","41.966","41.7","41.43","41.71","41.855","42","43.2","40.74","41.71","41.87","41.817","41.766","41.75","39.349","40.055","40.582",
